titles,votes,ratings
The Shawshank Redemption,3200000.0,9.3
The Godfather,2200000.0,9.2
The Dark Knight,3100000.0,9.1
The Godfather Part II,1500000.0,9.0
12 Angry Men,974000.0,9.0
The Lord of the Rings: The Return of the King,2100000.0,9.0
Schindler's List,1600000.0,9.0
The Lord of the Rings: The Fellowship of the Ring,2200000.0,8.9
Pulp Fiction,2400000.0,8.8
"The Good, the Bad and the Ugly",885000.0,8.8
The Lord of the Rings: The Two Towers,1900000.0,8.8
Forrest Gump,2500000.0,8.8
Fight Club,2600000.0,8.8
Inception,2800000.0,8.8
Star Wars: Episode V - The Empire Strikes Back,1500000.0,8.7
The Matrix,2200000.0,8.7
Goodfellas,1400000.0,8.7
Interstellar,2500000.0,8.7
One Flew Over the Cuckoo's Nest,1200000.0,8.6
Se7en,2000000.0,8.6
It's a Wonderful Life,552000.0,8.6
The Silence of the Lambs,1700000.0,8.6
Seven Samurai,399000.0,8.6
Saving Private Ryan,1600000.0,8.6
The Green Mile,1500000.0,8.6
City of God,865000.0,8.6
Life Is Beautiful,806000.0,8.6
Terminator 2: Judgment Day,1300000.0,8.6
Star Wars: Episode IV - A New Hope,1600000.0,8.6
Back to the Future,1400000.0,8.5
Spirited Away,956000.0,8.6
The Pianist,1000000.0,8.5
Gladiator,1800000.0,8.5
Parasite,1100000.0,8.5
Grave of the Fireflies,378000.0,8.5
Psycho,780000.0,8.5
The Lion King,1200000.0,8.5
Harakiri,89000.0,8.6
The Departed,1500000.0,8.5
Whiplash,1100000.0,8.5
The Prestige,1600000.0,8.5
American History X,1300000.0,8.5
Léon: The Professional,1300000.0,8.5
Spider-Man: Across the Spider-Verse,509000.0,8.5
Cinema Paradiso,315000.0,8.5
Casablanca,652000.0,8.5
The Intouchables,1000000.0,8.5
The Usual Suspects,1200000.0,8.5
Alien,1100000.0,8.5
Django Unchained,1900000.0,8.5
Modern Times,284000.0,8.5
Rear Window,566000.0,8.5
Once Upon a Time in the West,382000.0,8.5
City Lights,215000.0,8.5
Apocalypse Now,765000.0,8.4
WALL·E,1300000.0,8.4
Memento,1400000.0,8.4
Dune: Part Two,717000.0,8.4
Raiders of the Lost Ark,1100000.0,8.4
Avengers: Infinity War,1400000.0,8.4
The Lives of Others,441000.0,8.4
Spider-Man: Into the Spider-Verse,777000.0,8.4
Sunset Boulevard,259000.0,8.4
Witness for the Prosecution,160000.0,8.4
Paths of Glory,237000.0,8.4
The Shining,1200000.0,8.4
The Great Dictator,258000.0,8.4
Inglourious Basterds,1800000.0,8.4
12th Fail,168000.0,8.7
Aliens,835000.0,8.4
High and Low,70000.0,8.4
The Dark Knight Rises,2000000.0,8.4
Avengers: Endgame,1400000.0,8.4
Good Will Hunting,1200000.0,8.4
Coco,696000.0,8.4
